epoch,start_time,end_time,duration_s,avg_duration_s,total_time_min,batch_count,avg_train_loss,val_accuracy,val_rmse,val_auc
1,1970-01-01 17:37:16,1970-01-01 17:39:01,104.53,104.53,1.74,293,1.039355,0.64521,0.47848,0.55884
2,1970-01-01 17:39:04,1970-01-01 17:40:43,99.17,101.85,3.4,293,0.655773,0.64521,0.478456,0.598441
3,1970-01-01 17:40:45,1970-01-01 17:42:25,99.4,101.03,5.05,293,0.655278,0.64521,0.478454,0.613239
4,1970-01-01 17:42:28,1970-01-01 17:44:07,99.36,100.62,6.71,293,0.655029,0.64521,0.478466,0.631365
5,1970-01-01 17:44:10,1970-01-01 17:45:49,99.61,100.42,8.37,293,0.654983,0.64521,0.478449,0.663355
6,1970-01-01 17:45:52,1970-01-01 17:47:31,99.15,100.2,10.02,293,0.653265,0.64521,0.47753,0.6812
7,1970-01-01 17:47:34,1970-01-01 17:49:13,99.46,100.1,11.68,293,0.638768,0.64521,0.472092,0.683782
8,1970-01-01 17:49:16,1970-01-01 17:50:55,99.13,99.98,13.33,293,0.58893,0.647438,0.462525,0.684209
9,1970-01-01 17:50:58,1970-01-01 17:52:38,99.89,99.97,15.0,293,0.506895,0.673584,0.456994,0.68528
10,1970-01-01 17:52:41,1970-01-01 17:54:20,99.22,99.89,16.65,293,0.423413,0.683198,0.458936,0.684793
11,1970-01-01 17:54:23,1970-01-01 17:56:02,99.01,99.81,18.3,293,0.354197,0.671122,0.465209,0.682724
12,1970-01-01 17:56:04,1970-01-01 17:57:47,102.86,100.07,20.01,293,0.296989,0.664556,0.47336,0.678718
13,1970-01-01 17:57:50,1970-01-01 17:59:32,101.65,100.19,21.71,293,0.251414,0.661039,0.482159,0.673697
14,1970-01-01 17:59:35,1970-01-01 18:01:16,101.33,100.27,23.4,293,0.215946,0.651894,0.490874,0.668888
15,1970-01-01 18:01:19,1970-01-01 18:02:59,100.42,100.28,25.07,293,0.187146,0.644155,0.498736,0.665114
16,1970-01-01 18:03:02,1970-01-01 18:04:44,102.15,100.4,26.77,293,0.164734,0.645093,0.506143,0.660741
17,1970-01-01 18:04:47,1970-01-01 18:06:30,103.52,100.58,28.5,293,0.146747,0.638176,0.512893,0.657558
18,1970-01-01 18:06:33,1970-01-01 18:08:17,103.47,100.74,30.22,293,0.131932,0.63712,0.517972,0.655249
19,1970-01-01 18:08:20,1970-01-01 18:10:01,101.63,100.79,31.92,293,0.120352,0.636534,0.52272,0.653098
20,1970-01-01 18:10:04,1970-01-01 18:11:44,99.76,100.74,33.58,293,0.110385,0.635362,0.526842,0.651037
21,1970-01-01 18:11:47,1970-01-01 18:13:27,100.43,100.72,35.25,293,0.100574,0.632079,0.531512,0.649762
22,1970-01-01 18:13:30,1970-01-01 18:15:13,102.76,100.81,36.97,293,0.092701,0.630437,0.535194,0.647958
23,1970-01-01 18:15:15,1970-01-01 18:16:57,101.36,100.84,38.65,293,0.087014,0.633134,0.537422,0.646348
24,1970-01-01 18:17:00,1970-01-01 18:18:39,99.75,100.79,40.32,293,0.08152,0.629499,0.54177,0.645236
25,1970-01-01 18:18:42,1970-01-01 18:20:22,99.72,100.75,41.98,293,0.076459,0.628092,0.544895,0.643996
26,1970-01-01 18:20:25,1970-01-01 18:22:04,99.75,100.71,43.64,293,0.071277,0.627506,0.546775,0.643688
27,1970-01-01 18:22:07,1970-01-01 18:23:47,99.61,100.67,45.3,293,0.069468,0.621761,0.550459,0.642656
28,1970-01-01 18:23:49,1970-01-01 18:25:29,99.37,100.62,46.96,293,0.065581,0.627506,0.550322,0.642236
29,1970-01-01 18:25:31,1970-01-01 18:27:10,99.03,100.57,48.61,293,0.061166,0.629265,0.551211,0.641504
30,1970-01-01 18:27:13,1970-01-01 18:28:52,99.22,100.52,50.26,293,0.057992,0.628444,0.553029,0.640621
